SeriesInd,group,Var01,Var02,Var03,Var05,Var07
41027,S03,46.66571429,43981000,46.43714143,46.55857086,46.49571614
41028,S03,46.63571543,40784800,46.44285586,46.60285571,46.47000129
41029,S03,46.50142671,39373600,46.15000157,46.49714286,46.23714443
41030,S03,46.21142957,48377000,45.90142829,46.13571543,46.08000186
41033,S03,47.18000029,111284600,46.405716,46.52000043,47.08142857
41034,S03,47.5,77270200,46.87857057,47.49142843,47.32714457
41035,S03,47.76285557,63879900,47.07143014,47.07857129,47.71428686
41036,S03,47.89285657,75107200,47.55714414,47.81714243,47.67571257
41037,S03,48.04999929,77982800,47.41428757,47.71285629,48.01714329
41040,S03,49.032856,112140000,48.167141,48.40428543,48.92142871
41041,S03,49.27999871,111027000,48.49571614,49.26857,48.80571371
41042,S03,49.20428471,75647600,48.85714343,49.03571314,49.202858
41043,S03,49.52000043,74195100,49.12142943,49.30857086,49.38285829
41044,S03,49.782856,77210000,49.20571514,49.412857,49.782856
41048,S03,49.25142671,470249500,46.57143014,47.07428743,48.66428757
41049,S03,49.79999929,283903200,48.12571329,49.764286,48.405716
41050,S03,48.32857129,191197300,47.15999986,48.061428,47.52571486
41051,S03,47.84000014,188600300,46.66143043,47.681427,46.67428586
41054,S03,48.20714186,143670800,46.67428586,46.695713,48.20714186
41055,S03,48.77714157,136717000,47.79571529,48.047142,48.77142714
41056,S03,49.37142943,126718900,48.78571314,48.99428557,49.12142943
41057,S03,49.24142843,71256500,48.97571557,49.11142729,49.02999871
41058,S03,49.20000071,148014300,47.64714429,49.167141,48.014286
41061,S03,48.57714457,94311700,47.75714114,47.97142786,48.47428514
41062,S03,49.37857057,106658300,48.71142957,48.75714114,49.29000086
41063,S03,49.32143014,64738800,49.07857129,49.20714186,49.188572
41064,S03,49.17714314,98449400,48.36428457,49.11428457,49.06285857
41065,S03,49.52857214,80460100,49.07285686,49.09142686,49.5
41068,S03,50.46428686,121255400,49.662857,49.69857029,50.26857
41069,S03,50.78857043,95260200,50.30714414,50.52571486,50.74285886
41070,S03,51.28571314,120686300,50.695713,50.74142843,51.16571429
41071,S03,51.42856986,232137500,49.71428686,51.05571371,50.648571
41072,S03,51.11428457,91893200,50.50571443,50.67856986,50.97857286
41075,S03,51.35428614,77604100,50.95857243,50.97000129,51.311428
41076,S03,51.42428586,71043700,51.07857129,51.31285857,51.41428757
41077,S03,52.12857057,120289400,51.5,51.54285814,51.87571329
41078,S03,51.467144,132645800,50.931427,51.03571314,51.18571471
41079,S03,51.35714343,204014300,49.931427,51.24428557,50.08000186
41083,S03,49.34285743,218138900,48.24571614,48.87857057,48.37285614
41084,S03,49.23428729,167963600,48.37285614,48.39571386,48.945713
41085,S03,49.30714414,124975200,48.33856957,49.14571386,48.98285671
41086,S03,49.77571486,95004700,49.25714114,49.32285686,49.73714443
41089,S03,50.72142786,100768500,50.15999986,50.17714314,50.45857243
41090,S03,50.81714243,114034200,49.66857143,50.78142929,49.90142829
41091,S03,50.62142943,150647700,49.77142714,49.99428557,50.30285643
41092,S03,51.398571,125197100,50.84571457,51.02714157,51.365715
41093,S03,51.47000129,113316700,51.10714343,51.438572,51.42856986
41096,S03,51.667141,136530800,50.18714143,51.62857057,50.76571271
41097,S03,51.05714414,89079200,50.32143014,50.70142743,50.82285686
41098,S03,50.68000029,113326500,50.08571243,50.66999814,50.35285571
41099,S03,49.967144,126884800,49.27142714,49.87428671,49.52428443
41100,S03,50.33142857,117770100,49.28571314,49.332859,50.28428643
41103,S03,50.92571257,108989300,50.18714143,50.45428471,50.50857157
41104,S03,49.69142914,180270300,48.58571243,48.87142943,49.34714129
41105,S03,49,290502800,46.60857014,48.85714343,47.14428714
41106,S03,48.51571271,164855600,47.23714443,48.11857229,47.80571371
41107,S03,48.31428529,188303500,47.14285657,48.16143043,47.23857114
41110,S03,48.53428643,102350500,47.89428714,47.99857329,48.47142786
41111,S03,48.945713,81480700,48.44857029,48.93714143,48.74285886
41112,S03,48.60285571,93249100,47.99285886,48.46857071,48.45571514
41113,S03,49.42856986,101178000,48.40857314,48.83571243,49.28142929
41114,S03,50.29428486,112227500,49.57428743,49.72428514,50.22000129
41117,S03,50.61714171,77338800,50.06285857,50.45000071,50.06285857
41118,S03,50.13714214,88225200,49.43714143,49.66571429,50.13714214
41119,S03,50.12571329,82351500,49.634285,50.09142686,49.804287
41120,S03,49.97142786,68504800,49.43714143,49.47999957,49.78714371
41121,S03,50.22714229,104665400,49.04285814,50.15857314,49.22285843
41124,S03,49.22857286,115021200,48.34285743,49.18714143,48.74142843
41125,S03,48.89285657,120682800,48,48.14142986,48.412857
41126,S03,49.12857057,100634800,48.162857,48.74571614,48.29142757
41127,S03,48.63285829,93361800,48.00428386,48.29999929,48.297142
41128,S03,48.59285743,94383800,47.70714186,48.56000143,47.865715
41131,S03,47.952858,99736700,47.14571386,47.72285843,47.25714114
41132,S03,47.67571257,106409800,47.17142871,47.21285629,47.485714
41133,S03,48.02000043,86555000,47.50285714,47.86000057,48.01857
41134,S03,48,75450200,47.43714143,47.82857129,47.48857114
41135,S03,47.662857,113401400,46.68571471,47.61428457,46.77999871
41138,S03,47.46142957,152474700,45.73714443,46.58571243,47.40714257
41139,S03,48.282856,104844600,47.38714214,47.58571243,48.26571271
41140,S03,49.39285657,175166600,48.78571314,49.07285686,48.91571429
41141,S03,50.73285671,188452600,49.78857043,50.71428686,50.09999843
41145,S03,50.53571314,66636500,50.04285814,50.04857257,50.43000029
41146,S03,50.71285629,84700000,49.90714257,50.51714329,50.06000143
41147,S03,50.33571243,89053300,49.58571243,50.31999971,50.02142714
41148,S03,49.96428686,90239800,49.36000057,49.45571514,49.53571314
41149,S03,50.56428529,251586300,49.52428443,49.54000086,50.01857
41152,S03,50.06714243,110678400,49.35714343,49.96285629,49.46857071
41153,S03,49.98428729,78337000,49.37428671,49.71285629,49.74285886
41154,S03,50.26142886,97312600,49.554287,49.75142671,49.938572
41155,S03,50.13571543,83992300,49.43571471,49.77142714,49.53571314
41156,S03,50,70033600,49.45857243,49.95571514,49.52285771
41159,S03,49.88571543,51186800,49.50428386,49.69428629,49.65714257
41160,S03,49.95571514,70522900,49.52285771,49.84142686,49.92142871
41161,S03,50,84000000,49.31999971,49.86000057,49.60428614
41162,S03,49.58856957,80500000,48.89571386,49.445713,49.50999829
41163,S03,49.46428686,81529000,48.62142943,49.380001,48.64285657
41166,S03,48.74571614,112443800,47.514286,48.45714186,47.61428457
41167,S03,48.02000043,113083600,47.24714286,47.42856986,48.02000043
